device_id,pm25,pm10,co2,temperature,humidity,timestamp
node-01,32.0,46.9,500,24.5,77.5,2026-08-24T00:00:00
node-01,28.0,41.0,518,23.8,82.4,2026-08-24T01:00:00
node-01,26.4,41.6,537,23.4,83.4,2026-08-24T02:00:00
node-01,28.8,48.6,568,23.2,84.8,2026-08-24T03:00:00
node-01,27.1,43.9,553,22.4,82.4,2026-08-24T04:00:00
node-01,40.7,67.5,543,23.3,80.9,2026-08-24T05:00:00
node-01,43.7,64.2,546,24.8,81.4,2026-08-24T06:00:00
node-01,45.0,66.6,524,26.0,76.9,2026-08-24T07:00:00
node-01,43.8,66.3,489,27.2,74.9,2026-08-24T08:00:00
node-01,41.9,61.5,465,28.1,72.3,2026-08-24T09:00:00
node-01,40.5,60.5,471,28.7,67.2,2026-08-24T10:00:00
node-01,29.8,46.7,491,30.0,68.6,2026-08-24T11:00:00
node-01,31.8,49.4,531,31.0,63.9,2026-08-24T12:00:00
node-01,30.2,42.9,464,30.7,66.1,2026-08-24T13:00:00
node-01,30.0,48.5,478,31.9,58.2,2026-08-24T14:00:00
node-01,34.5,53.0,490,33.0,58.8,2026-08-24T15:00:00
node-01,38.5,64.0,509,31.9,63.1,2026-08-24T16:00:00
node-01,40.1,65.5,461,31.6,61.6,2026-08-24T17:00:00
node-01,52.1,85.9,466,30.9,64.2,2026-08-24T18:00:00
node-01,50.8,72.2,488,30.0,62.6,2026-08-24T19:00:00
node-01,41.7,69.3,476,28.7,69.5,2026-08-24T20:00:00
node-01,40.8,69.3,492,27.5,70.3,2026-08-24T21:00:00
node-01,35.3,55.7,493,26.6,76.5,2026-08-24T22:00:00
node-01,32.4,53.7,512,25.8,78.6,2026-08-24T23:00:00
node-01,30.6,47.2,490,23.8,76.9,2026-08-25T00:00:00
node-01,22.0,33.9,523,22.9,79.4,2026-08-25T01:00:00
node-01,23.1,38.3,548,22.5,84.9,2026-08-25T02:00:00
node-01,26.5,44.4,572,21.6,85.4,2026-08-25T03:00:00
node-01,37.4,63.2,569,23.2,81.9,2026-08-25T04:00:00
node-01,35.9,50.9,576,22.1,86.4,2026-08-25T05:00:00
node-01,37.0,62.4,544,24.2,80.4,2026-08-25T06:00:00
node-01,40.7,64.1,554,23.9,77.1,2026-08-25T07:00:00
node-01,33.2,48.0,497,25.8,74.9,2026-08-25T08:00:00
node-01,33.7,48.4,477,27.1,71.0,2026-08-25T09:00:00
node-01,25.2,39.2,492,28.3,68.4,2026-08-25T10:00:00
node-01,22.3,33.2,494,28.8,69.1,2026-08-25T11:00:00
node-01,39.4,56.0,479,30.1,65.0,2026-08-25T12:00:00
node-01,28.8,41.7,470,31.0,58.9,2026-08-25T13:00:00
node-01,26.3,43.3,478,31.0,63.2,2026-08-25T14:00:00
node-01,29.7,46.5,484,31.3,62.7,2026-08-25T15:00:00
node-01,29.6,45.8,471,31.8,58.2,2026-08-25T16:00:00
node-01,36.7,59.9,481,30.5,60.4,2026-08-25T17:00:00
node-01,41.2,58.6,480,30.7,60.6,2026-08-25T18:00:00
node-01,41.8,60.1,475,28.8,70.0,2026-08-25T19:00:00
node-01,43.9,64.7,473,28.6,71.0,2026-08-25T20:00:00
node-01,35.0,58.8,474,27.6,67.9,2026-08-25T21:00:00
node-01,38.1,57.1,483,26.3,73.6,2026-08-25T22:00:00
node-01,27.5,39.4,506,25.1,75.2,2026-08-25T23:00:00
node-01,36.7,60.1,501,27.9,80.9,2026-08-26T00:00:00
node-01,46.9,69.6,487,26.9,80.8,2026-08-26T01:00:00
node-01,42.1,71.2,537,27.2,88.2,2026-08-26T02:00:00
node-01,35.3,52.7,571,26.2,82.5,2026-08-26T03:00:00
node-01,43.8,61.3,593,27.2,82.5,2026-08-26T04:00:00
node-01,47.4,67.4,548,27.0,80.9,2026-08-26T05:00:00
node-01,54.6,81.5,527,27.6,81.6,2026-08-26T06:00:00
node-01,49.7,79.7,533,29.3,76.4,2026-08-26T07:00:00
node-01,58.5,89.4,498,29.4,73.7,2026-08-26T08:00:00
node-01,50.3,84.0,503,31.2,70.8,2026-08-26T09:00:00
